Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Category_clothing,Category_footwear,Category_outerwear,Season_spring,Season_summer,Season_winter,Shipping Type_express,Shipping Type_free shipping,Shipping Type_next day air,Shipping Type_standard,Shipping Type_store pickup,Payment Method_cash,Payment Method_credit card,Payment Method_debit card,Payment Method_paypal,Payment Method_venmo,Purchase_Amount_Bins,Age_Group,Review_Sentiment
55,1,blouse,53,kentucky,2,gray,3.1,1,1,1,14,26,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,medium,55-64,neutral
19,1,sweater,64,maine,2,maroon,3.1,1,1,1,2,26,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,medium,18-24,neutral
50,1,jeans,73,massachusetts,0,maroon,3.1,1,1,1,23,52,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,medium,45-54,neutral
21,1,sandals,90,rhode island,1,maroon,3.5,1,1,1,49,52,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,high,18-24,neutral
45,1,blouse,49,oregon,1,turquoise,2.7,1,1,1,31,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,medium,45-54,negative
46,1,sneakers,20,wyoming,1,white,2.9,1,1,1,14,52,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,low,45-54,negative
63,1,shirt,85,montana,1,gray,3.2,1,1,1,49,4,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,high,55-64,neutral
27,1,shorts,34,louisiana,2,charcoal,3.2,1,1,1,19,52,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,low,25-34,neutral
26,1,coat,97,west virginia,2,silver,2.6,1,1,1,8,1,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,high,25-34,negative
57,1,handbag,31,missouri,1,pink,4.8,1,1,1,4,4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,low,55-64,positive
53,1,shoes,34,arkansas,2,purple,4.1,1,1,1,26,26,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,low,45-54,positive
30,1,shorts,68,hawaii,0,olive,4.9,1,1,1,10,26,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,medium,25-34,positive
61,1,coat,72,delaware,1,gold,4.5,1,1,1,37,26,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,medium,55-64,positive
65,1,dress,51,new hampshire,1,violet,4.7,1,1,1,31,52,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,medium,65+,positive
64,1,coat,53,new york,2,teal,4.7,1,1,1,34,52,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,medium,55-64,positive
64,1,skirt,81,rhode island,1,teal,2.8,1,1,1,8,12,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,high,55-64,negative
25,1,sunglasses,36,alabama,0,gray,4.1,1,1,1,44,26,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,low,25-34,positive
53,1,dress,38,mississippi,3,lavender,4.7,1,1,1,36,4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,low,45-54,positive
52,1,sweater,48,montana,0,black,4.6,1,1,1,17,52,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,medium,45-54,positive
66,1,pants,90,rhode island,1,green,3.3,1,1,1,46,26,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,high,65+,neutral
21,1,pants,51,louisiana,1,black,2.8,1,1,1,50,4,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,medium,18-24,negative
31,1,pants,62,north carolina,1,charcoal,4.1,1,1,1,22,4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,medium,25-34,positive
56,1,pants,37,california,1,peach,3.2,1,1,1,32,1,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,low,55-64,neutral
31,1,pants,88,oklahoma,3,white,4.4,1,1,1,40,52,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,high,25-34,positive
18,1,jacket,22,florida,1,green,2.9,1,1,1,16,52,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,low,18-24,negative
18,1,hoodie,25,texas,1,silver,3.6,1,1,1,14,1,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,low,18-24,neutral
38,1,jewelry,20,nevada,1,red,3.6,1,1,1,13,1,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,low,35-44,neutral
56,1,shorts,56,kentucky,2,cyan,5.0,1,1,1,7,4,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,medium,55-64,positive
54,1,handbag,94,north carolina,1,gray,4.4,1,1,1,41,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,high,45-54,positive
31,1,dress,48,wyoming,0,black,4.1,1,1,1,14,52,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,medium,25-34,positive
57,1,jewelry,31,north carolina,2,black,4.7,1,1,1,16,12,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,low,55-64,positive
33,1,dress,79,west virginia,2,brown,4.7,1,1,1,45,12,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,high,25-34,positive
36,1,jacket,67,kansas,1,silver,4.9,1,1,1,37,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,medium,35-44,positive
54,1,pants,38,colorado,2,green,3.3,1,1,1,45,4,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,low,45-54,neutral
36,1,t-shirt,91,north dakota,2,violet,4.6,1,1,1,38,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,high,35-44,positive
54,1,blouse,33,massachusetts,1,cyan,4.0,1,1,1,48,26,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,low,45-54,positive
35,1,t-shirt,69,illinois,1,maroon,4.6,1,1,1,44,26,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,medium,35-44,positive
35,1,jeans,45,indiana,0,cyan,2.8,1,1,1,10,52,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,low,35-44,negative
29,1,dress,37,florida,1,red,3.7,1,1,1,44,4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,low,25-34,neutral
70,1,pants,60,arizona,0,turquoise,4.2,1,1,1,18,12,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,medium,65+,positive
69,1,handbag,76,louisiana,2,beige,4.6,1,1,1,31,4,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,high,65+,positive
67,1,scarf,39,alaska,1,orange,4.5,1,1,1,40,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,low,65+,positive
20,1,coat,100,tennessee,1,beige,4.1,1,1,1,15,1,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,high,18-24,positive
25,1,scarf,69,ohio,2,lavender,3.7,1,1,1,19,26,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,medium,25-34,neutral
39,1,hat,53,kentucky,0,silver,4.6,1,1,1,45,52,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,medium,35-44,positive
50,1,socks,21,tennessee,3,indigo,2.9,1,1,1,25,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,low,45-54,negative
57,1,shirt,43,california,2,white,2.9,1,1,1,45,4,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,low,55-64,negative
55,1,jewelry,54,montana,1,charcoal,4.5,1,1,1,36,52,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,medium,55-64,positive
42,1,shirt,55,nevada,1,orange,2.7,1,1,1,38,12,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,medium,35-44,negative
68,1,hoodie,30,new jersey,0,indigo,4.6,1,1,1,34,26,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,low,65+,positive
49,1,blouse,28,maryland,1,red,3.7,1,1,1,39,26,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,low,45-54,neutral
59,1,skirt,59,vermont,3,gray,4.7,1,1,1,7,4,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,medium,55-64,positive
42,1,t-shirt,20,alaska,1,green,2.6,1,1,1,26,52,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,low,35-44,negative
29,1,skirt,24,mississippi,0,peach,3.9,1,1,1,35,52,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,low,25-34,neutral
47,1,coat,94,new mexico,1,brown,4.2,1,1,1,35,26,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,high,45-54,positive
40,1,jacket,28,south carolina,1,lavender,3.0,1,1,1,49,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,low,35-44,neutral
41,1,backpack,73,mississippi,3,brown,4.7,1,1,1,46,52,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,medium,35-44,positive
21,1,coat,64,west virginia,1,white,4.4,1,1,1,17,26,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,medium,18-24,positive
69,1,hoodie,54,missouri,1,charcoal,4.2,1,1,1,29,12,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,medium,65+,positive
63,1,belt,79,louisiana,2,yellow,4.6,1,1,1,4,52,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,high,55-64,positive
50,1,sweater,37,idaho,2,brown,4.0,1,1,1,17,52,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,low,45-54,positive
55,1,scarf,68,texas,1,orange,4.7,1,1,1,21,4,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,medium,55-64,positive
30,1,sneakers,21,mississippi,0,magenta,3.8,1,1,1,31,26,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,low,25-34,neutral
33,1,sunglasses,79,arizona,2,lavender,2.7,1,1,1,43,52,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,high,25-34,negative
65,1,boots,83,alabama,0,green,4.8,1,1,1,18,26,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,high,65+,positive
65,1,backpack,36,new jersey,1,purple,4.8,1,1,1,44,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,low,65+,positive
31,1,blouse,94,pennsylvania,0,magenta,4.7,1,1,1,3,4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,high,25-34,positive
45,1,coat,33,connecticut,2,gray,4.4,1,1,1,49,12,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,low,45-54,positive
57,1,handbag,46,utah,2,silver,3.9,1,1,1,21,4,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,medium,55-64,neutral
48,1,belt,70,tennessee,0,cyan,4.4,1,1,1,5,52,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,medium,45-54,positive
22,1,belt,29,alabama,1,magenta,4.2,1,1,1,32,4,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,low,18-24,positive
36,1,dress,48,virginia,2,gold,2.9,1,1,1,34,1,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,medium,35-44,negative
18,1,dress,26,georgia,1,olive,2.9,1,1,1,21,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,low,18-24,negative
48,1,pants,85,hawaii,1,teal,2.7,1,1,1,43,26,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,high,45-54,negative
49,1,gloves,58,indiana,2,violet,4.5,1,1,1,3,12,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,medium,45-54,positive
64,1,scarf,85,utah,1,blue,2.7,1,1,1,21,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,high,55-64,negative
50,1,hat,43,delaware,0,teal,4.2,1,1,1,32,12,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,low,45-54,positive
22,1,dress,53,delaware,2,gold,3.3,1,1,1,36,26,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,medium,18-24,neutral
50,1,skirt,91,nebraska,1,maroon,4.7,1,1,1,50,26,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,high,45-54,positive
38,1,jacket,96,iowa,1,olive,2.6,1,1,1,43,4,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,high,35-44,negative
19,1,sandals,72,new york,3,blue,3.3,1,1,1,24,4,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,medium,18-24,neutral
67,1,shoes,96,virginia,2,maroon,2.6,1,1,1,36,4,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,high,65+,negative
19,1,pants,28,georgia,0,olive,4.0,1,1,1,21,4,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,low,18-24,positive
36,1,dress,40,texas,1,turquoise,4.1,1,1,1,34,52,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,low,35-44,positive
52,1,coat,32,arizona,0,peach,4.4,1,1,1,42,4,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,low,45-54,positive
53,1,sunglasses,95,new mexico,1,charcoal,4.5,1,1,1,2,26,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,high,45-54,positive
24,1,hoodie,41,nevada,2,pink,3.7,1,1,1,47,26,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,low,18-24,neutral
52,1,shoes,53,ohio,1,green,3.7,1,1,1,44,26,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,medium,45-54,neutral
33,1,t-shirt,47,wyoming,1,orange,3.5,1,1,1,35,12,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,medium,25-34,neutral
47,1,jacket,83,california,3,pink,3.6,1,1,1,15,4,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,high,45-54,neutral
25,1,hat,48,south carolina,2,violet,2.9,1,1,1,29,12,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,medium,25-34,negative
44,1,scarf,99,south carolina,0,green,4.6,1,1,1,18,4,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,high,35-44,positive
61,1,jacket,87,texas,1,olive,4.4,1,1,1,13,4,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,high,55-64,positive
37,1,sweater,62,florida,1,purple,4.5,1,1,1,46,52,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,medium,35-44,positive
58,1,skirt,76,nevada,0,silver,4.6,1,1,1,28,52,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,high,55-64,positive
37,1,sneakers,100,missouri,2,pink,3.8,1,1,1,48,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,high,35-44,neutral
